areaWithType,square_feet,transaction,status,floor,furnishing,facing,price_per_sqft,price
4,1050.0,30,Ready to Move,8 out of 12,Unfurnished,East,3714.0,3900000.0
1,210.0,30,Ready to Move,Ground out of 10,,,14793.0,5000000.0
4,671.0,30,Ready to Move,2 out of 5,Semi-Furnished,East,2683.0,1800000.0
4,1360.0,30,Ready to Move,2 out of 2,Semi-Furnished,East,2647.0,3600000.0
4,1241.0,23,Poss. by Jul '24,7 out of 12,Unfurnished,East,3626.0,4500000.0
4,250.0,30,Ready to Move,Ground out of 4,,,20000.0,5000000.0
4,1150.0,30,Ready to Move,3 out of 6,Unfurnished,2,2783.0,3200000.0
4,1384.0,23,Ready to Move,7 out of 13,Unfurnished,East,3505.0,4850000.0
1,546.0,30,Ready to Move,2 out of 5,Semi-Furnished,East,2597.0,2200000.0
2,860.0,24,Resale,3,,,1744.0,1500000.0
2,540.0,30,36 X 15,Freehold,2,No,6481.0,3500000.0
4,547.0,30,Ready to Move,1 out of 1,Furnished,2,5484.0,3000000.0
4,800.0,30,Ready to Move,Ground out of 1,Unfurnished,2,2000.0,1600000.0
1,532.0,23,Ready to Move,Ground out of 1,Semi-Furnished,East,6203.0,3300000.0
4,800.0,30,Ready to Move,1 out of 4,Furnished,1,3500.0,2800000.0
4,400.0,35,Ready to Move,Resale,1,,3500.0,1400000.0
1,745.0,30,Ready to Move,9 out of 14,Semi-Furnished,2,2909.0,3200000.0
1,980.0,30,Ready to Move,1 out of 12,Furnished,East,3281.0,4200000.0
4,144.0,30,Ready to Move,1 out of 5,,,14583.0,2100000.0
4,650.0,30,Ready to Move,3 out of 4,Unfurnished,East,3385.0,2200000.0
1,500.0,30,Ready to Move,3 out of 4,Semi-Furnished,Main Road,2800.0,2100000.0
1,602.0,30,Poss. by Feb '25,10 out of 14,Semi-Furnished,Varni Siddheshwar Heights,3728.0,3400000.0
4,630.0,30,Ready to Move,1 out of 4,Unfurnished,East,3333.0,2100000.0
4,1127.0,30,Ready to Move,16 out of 19,Unfurnished,East,4259.0,4800000.0
4,1312.0,30,Ready to Move,2 out of 5,Unfurnished,North,3800.0,4990000.0
2,927.0,37,Resale,3,,,1942.0,1800000.0
4,951.0,30,Ready to Move,2 out of 12,Furnished,Main Road,2944.0,2800000.0
4,2000.0,35,Ready to Move,Resale,1 Open,5,2000.0,4000000.0
4,314.0,30,Ready to Move,1 out of 4,,,8500.0,2670000.0
1,1136.0,30,Ready to Move,1 out of 1,Unfurnished,Salasar Icon,2817.0,3200000.0
4,1250.0,38,Ready to Move,Resale,,,3200.0,4000000.0
1,238.0,30,Ready to Move,Ground out of 4,,,16807.0,4000000.0
1,1265.0,30,Ready to Move,13 out of 13,Unfurnished,East,3162.0,4000000.0
4,850.0,30,Ready to Move,Ground out of 1,Unfurnished,2,2118.0,1800000.0
4,1450.0,30,Ready to Move,Ground out of 2,Unfurnished,3,2069.0,3000000.0
4,500.0,30,Ready to Move,Ground out of 1,Unfurnished,1,2800.0,1400000.0
4,450.0,30,Ready to Move,6 out of 8,Unfurnished,1,3000.0,1350000.0
1,1150.0,30,Ready to Move,6 out of 7,Unfurnished,Green Valley,,3900000.0
4,1040.0,30,Ready to Move,2 out of 5,Unfurnished,2,3846.0,4000000.0
1,800.0,35,Poss. by Aug '24,Resale,2,1,2912.0,1950000.0
4,700.0,30,Ready to Move,2 out of 4,Furnished,1,2857.0,2000000.0
4,200.0,30,Ready to Move,1 out of 5,6,,6500.0,1300000.0
4,1258.0,19,Ready to Move,Resale,,,3816.0,4800000.0
4,570.0,30,Ready to Move,4 out of 5,Semi-Furnished,1,3509.0,2000000.0
1,880.0,23,Ready to Move,1 out of 5,Semi-Furnished,West,2564.0,3000000.0
1,272.0,30,Ready to Move,4 out of 5,"1 Covered,",,4486.0,2400000.0
1,700.0,35,Ready to Move,Resale,Co-operative Society,1,6250.0,5000000.0
1,580.0,30,Ready to Move,9 out of 11,Unfurnished,South -West,4569.0,2650000.0
1,100.0,30,Ready to Move,1 out of 1,,,9301.0,1820000.0
