facing,price_per_sqft,BHK,Location,area_type,area_sqft,transaction_type,ready_to_move,furnishing_level,price_rs
98,2600.0,3.0,Ishanpur Masma Surat,2,1250.0,1,1,0,3250000.0
0,2000.0,1.0,Udhana Darwaja Surat,1,350.0,0,1,0,1000000.0
0,1383.0,3.0,Hare krishna Surat,1,506.0,0,1,0,1400000.0
12,3333.0,2.0,Sachin GIDC Surat,2,480.0,2,1,0,1600000.0
97,2812.0,3.0,Lajpur Surat,2,1600.0,2,1,0,4500000.0
97,2373.0,2.0,Near Arya Club Tena Village Surat,1,500.0,1,1,0,1850000.0
0,9667.0,1.0,Olpad Surat,2,300.0,2,1,0,2900000.0
0,1688.0,1.0,Sayan Surat,2,800.0,2,1,0,1350000.0
0,3200.0,1.0,Olpad Surat,2,500.0,2,1,0,1600000.0
12,3455.0,2.0,Palanpur Surat,2,1100.0,2,1,0,3800000.0
54,5962.0,2.0,Kamrej Surat,2,520.0,2,1,1,3100000.0
54,3512.0,2.0,Amroli Surat,1,700.0,1,1,0,3600000.0
154,3562.0,1.0,Kailash Nagar Surat,1,786.0,2,1,0,2800000.0
12,2401.0,2.0,sajavat pales Surat,1,833.0,2,1,0,2000000.0
12,3500.0,2.0,Parvat Patia Surat,2,1000.0,2,1,0,3500000.0
0,2035.0,1.0,Katar Gam Surat,2,737.0,2,1,1,1500000.0
19,441.0,3.0,Mota Varachha Surat,2,1700.0,2,1,0,750000.0
12,3796.0,2.0,Ganesh Residency Amroli Ganeshpura Surat,1,600.0,2,1,0,3000000.0
97,2815.0,2.0,Kawas Surat,2,1350.0,2,1,0,3800000.0
0,2217.0,1.0,Adajan Surat,2,812.0,2,1,0,1800000.0
12,3500.0,2.0,Udhana Surat,1,850.0,2,1,0,3500000.0
54,2415.0,2.0,Jahangir Pura Surat,2,1180.0,2,1,0,2850000.0
60,3001.0,2.0,Olpad Surat,2,900.0,2,1,0,2700000.0
12,4324.0,2.0,Amarview Surat,2,925.0,2,1,0,4000000.0
12,3529.0,2.0,Vaidhai hites Surat,1,850.0,2,1,0,3000000.0
54,4049.0,5.0,Sarsana Surat,2,1235.0,2,1,1,5000000.0
54,3556.0,1.0,Suman Vihar Surat,1,385.0,2,1,0,1600000.0
0,731.0,2.0,Kim Surat,2,2600.0,2,1,0,1900000.0
0,2000.0,2.0,Alkapuri Surat,2,850.0,2,1,0,1700000.0
0,2500.0,2.0,Ram Pura Surat,2,800.0,2,1,0,2000000.0
60,3472.0,1.0,Sayan Surat,2,48.0,2,1,0,1500000.0
12,3509.0,2.0,Surat,2,570.0,0,0,0,2000000.0
60,2964.0,2.0,Rander Road Surat,1,876.0,2,1,1,3000000.0
3,4211.0,2.0,Citylight Area Surat,2,950.0,2,1,0,4000000.0
99,3833.0,1.0,Subhash Nagar Surat,1,575.0,2,1,1,2300000.0
-1,2387.0,1.0,Surat Surat,2,432.0,0,1,0,1030000.0000000001
118,3309.0,3.0,Surat,2,1360.0,2,1,0,4500000.0
56,3522.0,2.0,Katargam Surat,1,950.0,2,1,0,4050000.0
-1,4702.0,1.0,Dindoli Surat,2,500.0,0,0,0,2350000.0
1,2000.0,2.0,Amroli Surat,2,650.0,2,1,0,1300000.0
60,2881.0,1.0,Kamrej Surat,1,54.0,0,1,0,1400000.0
12,3116.0,2.0,Kamrej Surat,1,562.0,2,1,1,2100000.0
12,2323.0,2.0,Kamrej Surat,2,947.0,2,1,0,2200000.0
0,4116.0,1.0,Katar Gam Surat,2,413.0,2,1,0,1700000.0
12,4000.0,2.0,Sarthana Jakat Naka Surat,2,900.0,2,1,0,3600000.0
54,125000.0,1.0,Amroli Surat,1,1250.0,2,1,1,4500000.0
97,2624.0,2.0,Radhakishan Flats Surat,1,650.0,2,1,0,2650000.0
0,1875.0,2.0,Kailash Nagar Surat,2,800.0,2,1,1,1500000.0
97,3796.0,2.0,Udhana Surat,1,1080.0,2,1,0,4100000.0
83,3368.0,2.0,Palanpur Jakatnaka Surat,2,950.0,2,1,1,3200000.0
173,4000.0,2.0,Thakordwar Appartment Surat,1,800.0,2,1,0,4000000.0
12,2288.0,1.0,Kosamba Surat,2,612.0,2,1,0,1400000.0
12,3673.0,2.0,Anand Mahal Road Surat,2,1089.0,2,1,1,4000000.0
54,16667.0,1.0,Bhagal Surat,1,90.0,2,1,0,1500000.0
12,3478.0,2.0,Nanpura Timliyawad Surat,1,1150.0,2,1,1,4000000.0
0,4167.0,1.0,kadothara bardoli hayve sarvotam hotel ke samne gangadhara  Surat,2,480.0,2,1,0,2000000.0
12,2619.0,3.0,Swastik complex old kosad road Amroli Surat,2,1260.0,2,1,0,3300000.0
54,3981.0,1.0,Khadsad Surat,1,623.0,2,1,0,2500000.0
0,3071.0,2.0,Shiv Sagar residency Surat,2,700.0,2,1,1,2150000.0
60,3815.0,1.0,GREEN HOUSE APARTMENT Surat,1,675.0,2,1,1,2580000.0
12,1250.0,2.0,Karod Surat,2,800.0,2,1,1,1000000.0
54,2250.0,1.0,Hari Pura Surat,1,1000.0,2,1,1,2700000.0
12,1810.0,2.0,Vakaneda Chalthan Surat,2,1105.0,2,1,0,2000000.0
12,2714.0,2.0,Sima Nagar Surat,2,700.0,2,1,0,1900000.0
-1,3571.0,2.0,Athwa Surat,2,1400.0,2,1,0,5000000.0
-1,6154.0,2.0,Palanpur Jakatnaka Surat,2,780.0,0,1,0,4800000.0
56,3571.0,4.0,Bhatar Surat,1,800.0,0,1,0,4500000.0
12,3989.0,2.0,Velanja Surat,2,78.0,0,1,0,2800000.0
83,3760.0,2.0,Bagumara Surat,1,1100.0,2,1,0,4700000.0
12,5000.0,2.0,Diwali Baugh Athwagate Surat Surat,1,900.0,2,1,0,5000000.0
0,2308.0,1.0,Adajan Surat,2,650.0,2,1,1,1500000.0
0,9921.0,2.0,Hari Pura Surat,2,252.0,2,1,0,2500000.0
54,3404.0,2.0,Kailash Nagar Surat,2,1175.0,2,1,0,4000000.0
12,2881.0,3.0,mahavir appartment Surat,1,1327.0,2,1,0,4250000.0
97,2347.0,2.0,Devadh Surat,2,1065.0,2,1,1,2500000.0
